Serial,Date (YMD),Event,Provincia,Code Provincia,Departamento,Code Departamento,Comments,Cause,Description of Cause,Source,DataCards,Evacuated,lat,lon,rio1.nombre,rio1.distancia,rio2.nombre,rio2.distancia
960-10,6/2/1998,FLOOD,Buenos Aires,6,San Fernando,6749,El agua entra en contacto con cloro sólido depositado en una fábrica y se forma una nube tóxica. (DI6Author : A.C. DI6Date : ),RAIN,40 mm/15´; 133mm/ 2 hs,Cl,1,1,-34.2256455,-58.5931568,Palmas,7.152462249602801,Arroyo Carapachay,8.810303651454168
960-05,6/2/1998,FLOOD,Buenos Aires,6,Pilar,06638,(DI6Author : A.C. DI6Date : ),RAIN,40 mm/15´; 133mm/ 2 hs,Cl,1,1,-34.42200558,-58.95283788,Campana,15.28900798910244,Zárate,19.612429705251575
960-09,6/2/1998,FLOOD,Buenos Aires,6,Moreno,6560,Desborde ríos. (DI6Author : A.C. DI6Date : ),RAIN,40 mm/15´; 133mm/ 2 hs,Cl,1,1,-34.55865957,-58.81630109,Escobar,17.533466188272367,Campana,28.02192428754337
960-12,6/2/1998,FLOOD,Buenos Aires,6,Mercedes,6532,(DI6Author : A.C. DI6Date : ),RAIN,40 mm/15´; 133mm/ 2 hs,Cl,1,1,-34.64501572,-59.35927582,Areco - San Antonio de Areco,27.679032558549128,Aº De las Chañaritas,32.87359775713086
960-15,6/2/1998,FLOOD,Buenos Aires,6,Lujan,6497,Vías anegadas  desborde arroyo. (DI6Author : A.C. DI6Date : ),RAIN,40 mm/15´; 133mm/ 2 hs,Cl,1,1,-34.4619848,-59.1744878,Zárate,27.592551462501905,Baradero,51.78131555375502
960-08,6/2/1998,FLOOD,Buenos Aires,6,Lomas de Zamora,6490,Vías anegadas: Av. Roca y Marquez. (DI6Author : A.C. DI6Date : ),RAIN,40 mm/15´; 133mm/ 2 hs,Cl,1,1,-34.73790272,-58.44067537,Finky,5.538805425560432,Buenos Aires,11.278302384471056
960-11,6/2/1998,FLOOD,Buenos Aires,6,General Sarmiento,6378,Vías anegadas. Barrios más afectados: Manuelita  Barrufaldi  Sta. Brígida  Mariló y Mitre. Soc: D. Civil. (DI6Author : A.C. DI6Date : ),RAIN,40 mm/15´; 133mm/ 2 hs,Cl,1,1,-34.4627196,-58.7739423,Escobar,10.415238662156776,Campana,27.04555492557761
960-03,6/2/1998,FLOOD,Buenos Aires,6,General Sarmiento,6378,Vías anegadas con 1.5 m agua. Más afectados: Basualdo  V. de Mayo  A. Sordeaux  Grand Bourg. (DI6Author : A.C. DI6Date : ),RAIN,40 mm/15´; 133mm/ 2 hs,Cl,1,1,-34.4627196,-58.7739423,Escobar,10.415238662156776,Campana,27.04555492557761
960-04,6/2/1998,FLOOD,Buenos Aires,6,General San Martin,6371,(DI6Author : A.C. DI6Date : ),RAIN,40 mm/15´; 133mm/ 2 hs,Cl,1,1,-34.56734338,-58.58431125,Aº Medrano Reser. - Tecnópolis,8.517813269419056,San Fernando,8.65702573707137
960-13,6/2/1998,FLOOD,Buenos Aires,6,General Rodriguez,6364,Vías anegadas. Ev. (DI6Author : A.C. DI6Date : ),RAIN,40 mm/15´; 133mm/ 2 hs,Cl,1,1,-34.72117406,-59.01160158,Campana,32.945209238019075,Zárate,35.63250062006413
960-06,6/2/1998,FLOOD,Buenos Aires,6,Escobar,6252,(DI6Author : A.C. DI6Date : ),RAIN,40 mm/15´; 133mm/ 2 hs,Cl,1,1,-34.3007971,-58.7215474,Escobar,1.311343412157077,Campana,27.60639676913901
930-01,27/1/1998,FLOOD,San Juan,70,Jachal,70056,Socavones en ruta 150. Tránsito con dificultades. (DI6Author : A.C. DI6Date : ),Llu y desb,Crecida río Jachal,LN,1,1,-30.20949542,-68.74673275,Blanco - Angualasto,47.49096956510364,San Juan - Dique de la Rosa,53.50843713978858
906-01,21/1/1998,FLOOD,Santa Fe,82,,,Vías anegadas  corte ruta 9 y 11. Da. (DI6Author : A.C. DI6Date : ),RAIN,100mm/ 2 hs; 200mm/24 hs.,Cl,1,1,,,nombre random,100000000.0,,
907-01,21/1/1998,FLOOD,La Pampa,42,Chalileo,42049,Corte rutas 143 y 14 (con 50 cm agua en un puente). (DI6Author : A.C. DI6Date : ),Llu y desb,Crecida Río Salado,Cl,1,1,-36.63620803,-66.47691656,Salado - Santa Isabel,42.01678358178016,Atuel - Paso Maroma,58.34675601855419
932-01,21/1/1998,FLOOD,Buenos Aires,6,Baradero,6070,Vías anegadas. Soc: D.Civil. (DI6Author : A.C. DI6Date : ),RAIN,,LN,1,1,-33.8417492,-59.4518203,Baradero,5.391797979223819,San Pedro,23.93795209334082
896-02,15/1/1998,FLOOD,Corrientes,18,Goya,18070,Caminos anegados. Pérdidas cultivos tabaco: 80-100% en plantaciones tierras bajas; 50% tierras medias; 30% tierras altas. Depto en estado de emrgencia económica y social. Inicio: 1-1-98 (DI6Author : A.C. DI6Date : ),RAIN,600 mm/15 días,Cl,1,1,-29.1751244,-58.88982054,Aº Batel - Paso Cerrito,14.000267264942622,Bella Vista,42.093005625454715
902-02,14/1/1998,FLOOD,Santiago del Estero,86,Rio Hondo,86147,Viv. afec. en Bº Villa Nueva  Toro Yacu y Aguas Blancas. Postes de energía derribados por árboles. Soc: Defensa Civil y Salud y Acción Social. Cl 15/1 (DI6Author : MC DI6Date : 07-Abr),Llu y vie,,Cl,1,1,-27.60805727,-64.54365708,Dulce III – Los Quiroga,15.140351492088142,Dulce - La Escuela - Río Hondo,35.06731765861979
902-03,14/1/1998,FLOOD,Santiago del Estero,86,Moreno,86119,Caminos intransitables. Cl 15/1 (DI6Author : MC DI6Date : 07-Abr),RAIN,160 mm,Cl,1,1,-27.41385841,-63.06546783,Salado - Suncho Corral,49.252475439168286,Salado - Pinto,101.71091432140061
902-04,14/1/1998,FLOOD,Santiago del Estero,86,Copo,86056,Caminos de tierra intransitables. Cl 15/1 (DI6Author : MC DI6Date : 07-Abr),RAIN,120 mm,Cl,1,1,-25.72948778,-63.46601397,Canal de Dios - Cruz Bajada,47.21128789594523,Salado -A.Ab. Azud Cruz Bajada,47.3346412422128
902-01,14/1/1998,FLOOD,Santiago del Estero,86,,,Viv. afec. por vol. techos  derrumbe paredes  filtraciones y roturas de techos.Caminos provinciales de tierra intransitables. Pistas de aterrizaje inoperables. Cl 15/1 (DI6Author : A.C. DI6Date : ),RAIN,120 - 160 mm/ 1 día,Cl,1,1,,,nombre random,100000000.0,,
895-02,13/1/1998,FLOOD,Santa Fe,82,San Lorenzo,82119,Vías anegadas. Inicio: 1-1-98 (DI6Author : A.C. DI6Date : ),Llu y desb,Crecida Río Paraná,Cl,1,1,-32.69503021,-60.73096848,Paraná - Timbúes,1.4470472834058858,San Lorenzo (San Martín),2.179513216415982
895-01,13/1/1998,FLOOD,Santa Fe,82,La Capital,82063,Vías anegadas. Inicio: 1-1-98 (DI6Author : A.C. DI6Date : ),Llu y desb,Crecida Río Paraná,Cl,1,1,-31.18858147,-60.62677383,Sis. Setúbal-Sta. Fé-La Guard.,24.73041989897728,Colastiné - RN N° 168,25.92938196910656
893-05,13/1/1998,FLOOD,Entre Rios,30,Victoria,30105,Vías anegadas. Inicio:1-1-98. (DI6Author : A.C. DI6Date : ),Llu y desb,crecida río Paraná,Cl - LN,1,1,-32.957337,-60.049086,Nogoya - RP Nº 11,21.483225535407293,Riacho Victoria - Victoria,22.195587422606852
893-03,13/1/1998,FLOOD,Entre Rios,30,Uruguay,30098,Vías anegadas. Inicio:1-1-98. Soc: D. Civil. Altura río 12-1-98: 7.57 m. (DI6Author : A.C. DI6Date : ),Llu y desb,crecida río Uruguay,Cl - LN,1,1,-32.38095474,-58.23688127,Uruguay - Concep. del Uruguay,5.927436363801984,Concepción del Uruguay,6.0058955685003745
893-01,13/1/1998,FLOOD,Entre Rios,30,Islas del Ibicuy,30063,Vías anegadas con más de 80 cm agua. Se anda en bote por el centro de la cd. 600 m. vías acceso anegadas. 5900 aislados. Alt río 13-1: 3.07 m. Inicio: 1-1-98 (DI6Author : A.C. DI6Date : ),Llu y desb,Crecida ríos Paraná y Gualeguay,Cl - LN,1,1,-33.7787707,-58.54070986,Arroyo Martínez (Villa Paranacito),8.321448206532928,Villa Paranacito,12.981303112506911
893-07,13/1/1998,FLOOD,Entre Rios,30,Islas del Ibicuy,30063,Vías anegadas. Inicio:1-1-98. (DI6Author : A.C. DI6Date : ),Llu y desb,Crecida río,Cl - LN,1,1,-33.7787707,-58.54070986,Arroyo Martínez (Villa Paranacito),8.321448206532928,Villa Paranacito,12.981303112506911
893-04,13/1/1998,FLOOD,Entre Rios,30,Gualeguay,30049,Vías anegadas. Inicio:1-1-98. Soc: D. Civil. 6 escuelas  1 sindicato y 1 galpón para alojar ev. (DI6Author : A.C. DI6Date : ),Llu y desb,,Cl - LN,1,1,-33.55871824,-59.48052013,Baradero,13.763232717958692,San Pedro,19.912726185112614
893-06,13/1/1998,FLOOD,Entre Rios,30,Diamante,30021,Vías anegadas. Inicio:1-1-98. (DI6Author : A.C. DI6Date : ),Llu y desb,Crecida Río Paraná,Cl - LN,1,1,-32.01197804,-60.61726225,Paraná - Diamante,3.968748069026145,Diamante,4.346360935710059
893-02,13/1/1998,FLOOD,Entre Rios,30,Concordia,30015,Vías anegadas. Inicio:1-1-98. Soc: D. Civil (DI6Author : A.C. DI6Date : ),Llu y desb,2000 mm/ 2 meses. Crecida río Uruguay,Cl - LN,1,1,-31.35230446,-58.05355072,Concordia,4.9702956217825855,Salto Grande Arriba,13.733868318073494
897-01,5/1/1998,FLOOD,Formosa,34,Pilcomayo,34049,Vías anegadas (DI6Author : A.C. DI6Date : ),RAIN,,Cl,1,1,-25.11711311,-58.18847657,Aº Pilagá - RN Nº11,50.93778461244981,Puerto Pilcomayo,61.66288632112511
896-01,5/1/1998,FLOOD,Corrientes,18,Capital,18021,(DI6Author : A.C. DI6Date : ),RAIN,,Cl,1,1,-27.4064,-58.78276,Paraná - Corrientes,6.407280926805932,Corrientes,7.056348757607762
1517-a,4/1/1998,FLOOD,Capital Federal,2,,,(DI6Author : A.C. DI6Date : ),RAIN,60.6 mm/13 hs,Cl,1,1,,,nombre random,100000000.0,,
898-09,4/1/1998,FLOOD,Buenos Aires,6,Vicente Lopez,6861,(DI6Author : A.C. DI6Date : ),RAIN,80-100 mm,Cl,1,1,-34.52591497,-58.53576394,Aº Medrano Reser. - Tecnópolis,3.722947521272008,Lujan,4.918842414353815
898-10,4/1/1998,FLOOD,Buenos Aires,6,San Vicente,6778,(DI6Author : A.C. DI6Date : ),RAIN,80-100 mm,Cl,1,1,-35.18311,-58.45241002,Finky,23.894235046213716,Arroyo San Francisco - Dr. Torre,28.27528574855972
898-06,4/1/1998,FLOOD,Buenos Aires,6,Quilmes,6658,Arroyos obstruidos con basura. (DI6Author : A.C. DI6Date : ),Llu y desb,118 mm  desborde arroyos.,Cl,1,1,-34.70037841,-58.27664278,LP_Libano,4.25095577248256,Arroyo Las Piedras - Rep. del Líbano,4.284469084750754
898-03,4/1/1998,FLOOD,Buenos Aires,6,Lomas de Zamora,6490,Vías anegadas en barrios: S.José  Las casuarinas  Villa Alfaro y V. Lamadrid. (DI6Author : A.C. DI6Date : ),RAIN,80-118 mm,Cl,1,1,-34.73790272,-58.44067537,Finky,5.538805425560432,Buenos Aires,11.278302384471056
898-11,4/1/1998,FLOOD,Buenos Aires,6,La Plata,6441,Barrios más afectados: Los Hornos  Altos de S.Lorenzo  V.Elvira  V.Alba. Desborde A. El Gato inunda City Bell  Gonnet y V. Elisa. Vías acceso Centenario y belgrano anegadas. (DI6Author : A.C. DI6Date : ),RAIN,80-100 mm,Cl,1,1,-35.03880607,-58.05930616,La Plata,23.313993432925944,La Plata,24.225339560138988
898-07,4/1/1998,FLOOD,Buenos Aires,6,General Sarmiento,6378,(DI6Author : A.C. DI6Date : ),RAIN,80 - 118 mm. caídos,Cl,1,1,-34.4627196,-58.7739423,Escobar,10.415238662156776,Campana,27.04555492557761
898-01,4/1/1998,FLOOD,Buenos Aires,6,Florencio Varela,06274,Vías anegadas con 1 m. agua en barrios: Bosques N y centro  La Carolina  Km 26  Parque y V. Angélica.Entubamiento del arroyo inconcluso. Se tapa su salida y el agua no escurre. (DI6Author : A.C. DI6Date : ),RAIN,118 mm.,Cl,1,1,-34.8275807,-58.222912,Arroyo San Juan - MeteoVARELA,1.4266312994764467,Arroyo Las Piedras - Rep. del Líbano,10.962084850844096
898-04,4/1/1998,FLOOD,Buenos Aires,6,Esteban Echeverria,06260,Vías anegadas. (DI6Author : A.C. DI6Date : ),RAIN,80 mm.,Cl,1,1,-34.88497914,-58.47780994,Finky,10.59552888352467,Arroyo San Francisco - Dr. Torre,18.536820703561684
898-13,4/1/1998,FLOOD,Buenos Aires,6,Ensenada,6245,(DI6Author : A.C. DI6Date : ),RAIN,,Cl,1,1,-34.87584856,-57.9336299,La Plata,6.457696354582847,La Plata,7.345030536157423
898-12,4/1/1998,FLOOD,Buenos Aires,6,Berisso,6098,(DI6Author : A.C. DI6Date : ),RAIN,80 - 100 mm,Cl,1,1,-34.84587606,-57.87973336,La Plata,0.7086464686144464,La Plata,1.4548433352502625
898-08,4/1/1998,FLOOD,Buenos Aires,6,Berazategui,6091,(DI6Author : A.C. DI6Date : ),RAIN,80-118 mm.,Cl,1,1,-34.83264047,-58.10084123,Arroyo San Juan - MeteoVARELA,14.453359663763147,Pilote Norden,22.795853365019013
898-05,4/1/1998,FLOOD,Buenos Aires,6,Almirante Brown,6028,Vías anegadas en barrios Gendarmería  2 de abril  Corimayo y S. José. (DI6Author : A.C. DI6Date : ),RAIN,118 mm,Cl,1,1,-34.80155807,-58.39146772,Finky,1.1360021831799358,Arroyo San Francisco - Dr. Torre,7.862553032632131
889-02,2/1/1998,FLOOD,Tucuman,90,Simoca,90091,1800 Ev. y 450 Viv. afect. en departamentosos La Cocha y Simoca. (DI6Author : A.C. DI6Date : ),RAIN,granizo,Cl,1,1,-27.40925026,-65.26894379,Chico - RN Nº157 Monteagudo,5.211705075146754,Seco - RN Nº 157,6.380155192131833
889-01,2/1/1998,FLOOD,Tucuman,90,La Cocha,90049,Ev. y Viv. afect. corresponden a totales deptos La Cocha y Simoca. (DI6Author : A.C. DI6Date : ),RAIN,granizo,Cl,1,1,-27.75605583,-65.59912109,Del Valle - Huaycama,27.69663134566157,Los Sosa - RP30 km19,30.357110474447722
895-03,1/1/1998,FLOOD,Santa Fe,82,San Justo,82112,Vías anegadas. Inicio: 5-12-1997 (DI6Author : A.C. DI6Date : ),RAIN,700 mm/ 30 días,Cl,1,1,-30.8130411,-60.3886502,Aº Saladillo Amargo - RP Nº 81,3.0717269404334133,San Javier - Cayastá,33.55606495596796
728-03,26/12/1997,FLOOD,Capital Federal,2,Comuna 12,2012,Vías con hasta 1 m de agua: Bco Encalada y Cd. de la Paz. Cierre Viaducto Carranza. demoras de 4 hs. es aeroparque. Semáforos.El Niño. (DI6Author : A.C. DI6Date : ),RAIN,Lluvias 105 mm/10.5 hs.,Cl,1,1,-34.56062514,-58.47494475,Olivos,3.1388392153391758,San Isidro,6.998826438161411
728-01,26/12/1997,FLOOD,Capital Federal,2,Comuna 4,2004,Vías anegadas. Semáforos. Desagues tapados.El Niño. (DI6Author : A.C. DI6Date : ),RAIN,Lluvias 105 mm/10.5 hs.,Cl,1,1,-34.64641355,-58.38427103,Buenos Aires,5.245932975712397,Olivos,13.034939593076931
728-02,26/12/1997,FLOOD,Capital Federal,2,Comuna 14,2014,Vías anegadas (hasta 1 m agua): J.B.Justo  Alcorta y Sarmiento  Pte. Ferrocarril Mitre. Cierre Viaducto Carranza. Suspensión subtes. Demoras en el tren Mitre. Semáforos.El Niño. (DI6Author : A.C. DI6Date : ),RAIN,Lluvias 105 mm/10.5 hs.,Cl,1,1,-34.57389998,-58.42243645,Buenos Aires,2.680115102014045,Olivos,7.113055623764702
728-04,26/12/1997,FLOOD,Capital Federal,2,Comuna 4,2004,Vías con hasta 1 m. de agua: Necochea  Amte. Brown. Semáforos.El Niño. (DI6Author : A.C. DI6Date : ),RAIN,Lluvias 105 mm/10.5 hs.,Cl,1,1,-34.64641355,-58.38427103,Buenos Aires,5.245932975712397,Olivos,13.034939593076931
729-02,26/12/1997,FLOOD,Buenos Aires,6,Vicente Lopez,6861,Vías anegadas: Puente Debenedetti  cruce rutas 197 y 202. El Niño. (DI6Author : A.C. DI6Date : ),RAIN,Lluvias 105 mm/10.5 hs.,Cl,1,1,-34.52591497,-58.53576394,Aº Medrano Reser. - Tecnópolis,3.722947521272008,Lujan,4.918842414353815
729-04,26/12/1997,FLOOD,Buenos Aires,6,Tigre,6805,Vías anegadas. Vuelca un micro. El Niño. (DI6Author : A.C. DI6Date : ),RAIN,Lluvias 105 mm/10.5 hs.,Cl,1,1,-34.3277116,-58.608687,Arroyo Carapachay,3.246417800948728,Tigre,6.147673098235007
729-07,26/12/1997,FLOOD,Buenos Aires,6,Tigre,6805,El Niño. (DI6Author : A.C. DI6Date : ),RAIN,Lluvias 105 mm/10.5 hs.,Cl,1,1,-34.3277116,-58.608687,Arroyo Carapachay,3.246417800948728,Tigre,6.147673098235007
729-01,26/12/1997,FLOOD,Buenos Aires,6,San Isidro,6756,Vías anegadas: Puente Av. Marquez. El Niño. (DI6Author : A.C. DI6Date : ),RAIN,Lluvias 105 mm/10.5 hs.,Cl,1,1,-34.47940181,-58.5074044,San Isidro,1.2918934163533349,San Fernando,5.439281498493588
729-05,26/12/1997,FLOOD,Buenos Aires,6,Lomas de Zamora,6490,Vías anegadas. El Niño. (DI6Author : A.C. DI6Date : ),RAIN,Lluvias 105 mm/10.5 hs.,Cl,1,1,-34.73790272,-58.44067537,Finky,5.538805425560432,Buenos Aires,11.278302384471056
729-06,26/12/1997,FLOOD,Buenos Aires,6,General Sarmiento,6378,Vías anegadas. soc: D. Civil. El Niño. (DI6Author : A.C. DI6Date : ),RAIN,Lluvias 105 mm/10.5 hs.,Cl,1,1,-34.4627196,-58.7739423,Escobar,10.415238662156776,Campana,27.04555492557761
734-01,26/12/1997,FLOOD,Buenos Aires,6,Brandsen,6119,Vías anegadas.El Niño. (DI6Author : A.C. DI6Date : ),RAIN,,Cl,1,1,-34.9854674,-58.1762428,Arroyo San Juan - MeteoVARELA,12.029165065884726,Arroyo Las Piedras - Rep. del Líbano,20.714202510240646
729-03,26/12/1997,FLOOD,Buenos Aires,6,Avellaneda,6035,Vías anegadas: Puente Pueyrredón  Av. Mitre desde viaducto Sarandí hasta el 2100  Av. Pavón. El Niño. (DI6Author : A.C. DI6Date : ),RAIN,Lluvias 105 mm/10.5 hs.,Cl,1,1,-34.67500565,-58.31056343,SD_Olmos,1.5941701813570648,Arroyo San Francisco,3.256020413554479
496-02,21/12/1997,FLOOD,Salta,66,La Candelaria,66084,rotura R Nac 9 por aneg. Varios Km de colas de autos. (DI6Author : A.C. DI6Date : 07-Abr),RAIN,,LN,1,1,-26.14426,-65.0142,Salí - Alta Gracia,31.54318948621103,El Tala - El Brete,36.534737414829664
253-02,21/12/1997,FLOOD,Formosa,34,Pilcomayo,34049,Ev. fuera de los anillos de defensa de la ciudad (cota 10 m). LN 22/12. 700 ev. en Clorinda y Formosa. Escasa información. (DI6Author : A.C. DI6Date : 07-Abr),RAIN,,LN,1,1,-25.11711311,-58.18847657,Aº Pilagá - RN Nº11,50.93778461244981,Puerto Pilcomayo,61.66288632112511
253-01,21/12/1997,FLOOD,Formosa,34,Formosa,34014,Ev. fuera de los anillos de defensa de la ciudad (cota 11.5 m). LN 22/12. 700 ev. en Clorinda y Formosa. Escasa información. (DI6Author : A.C. DI6Date : 07-Abr),RAIN,,LN,1,1,-25.73826408,-57.92005921,Aº Pilagá - RN Nº11,30.605231637078525,Paraguay - Pto. Pilcomayo,37.03256570639641
710-01,20/12/1997,FLOOD,Santa Fe,82,,,Vías anegadas. El Niño. (DI6Author : A.C. DI6Date : ),Llu y desb,Lluvias  crecida Río Paraná,Cl,1,1,,,nombre random,100000000.0,,
996-01,20/12/1997,FLOOD,La Pampa,42,,,Corte ruta 35. Pérdida cosecha trigo  muerte ganado  150.000 Has anegadas. Da. El Niño. (DI6Author : A.C. DI6Date : ),RAIN,Lluvias,Cl,1,1,,,nombre random,100000000.0,,
708-02,20/12/1997,FLOOD,Cordoba,14,Tercero Arriba,14161,Corte ruta 258.  El Niño. (DI6Author : A.C. DI6Date : ),RAIN,,Cl,1,1,-32.25289151,-64.25143209,Tercero - Piedras Moras,4.534554771283125,Cuarto - RN Nº 8,43.84844255771848
708-01,20/12/1997,FLOOD,Cordoba,14,Juarez Celman,14056,Corte ruta 258. El Niño. (DI6Author : A.C. DI6Date : ),RAIN,Lluvias,Cl,1,1,-33.3160107,-63.2538219,Cuarto - La Carlota LIM,6.407576092964216,Quinto - RP Nº26,84.03760579447983
706-01,20/12/1997,FLOOD,Catamarca,10,,,El agua arrastra 1 camioneta. El Niño. (DI6Author : A.C. DI6Date : ),RAIN,Lluvias,Cl,1,1,,,nombre random,100000000.0,,
704-01,13/12/1997,FLOOD,Chaco,22,12 de Octubre,22036,El Niño. (DI6Author : A.C. DI6Date : ),RAIN,200 mm. caidos,Cl,1,1,-27.34587947,-61.4341435,CIRHBAS - LIM BAJO CHOROTIS-RN 95,40.585352921750925,CIRHBAS - LIM  LAGUNA EL BONETE - ARROYO GOLONDRIN,147.83689057517321
703-07,13/12/1997,FLOOD,Capital Federal,2,Comuna 6,2006,Adyacencias de la Av. Juan B. Justo aneg. Lluvia el 12/12: 86 mm. (DI6Author : MC DI6Date : 05-04),RAIN,90 mm,Cl - LN,1,1,-34.6168255,-58.44360311,Buenos Aires,5.900676142719036,Olivos,7.343281934691622
703-02,13/12/1997,FLOOD,Capital Federal,2,Comuna 14,2014,Aeroparque con demoras. Cae un árbol en Juncal al 4600 arriba de un auto. Viaducto Carranza y adyacencias de la Av. Juan B. Justo aneg. Lluvia el 12/12: 86 mm. (DI6Author : MC DI6Date : 05-04),RAIN,90 mm,Cl - LN,1,1,-34.57389998,-58.42243645,Buenos Aires,2.680115102014045,Olivos,7.113055623764702
703-03,13/12/1997,FLOOD,Capital Federal,2,Comuna 2,2002,Semáforo fuera de funcionamiento. Problemas de tránsito. Lluvia el 12/12: 86 mm. (DI6Author : MC DI6Date : 05-04),RAIN,90 mm,Cl - LN,1,1,-34.58587601,-58.39499618,Buenos Aires,1.5216199846445106,Olivos,10.105066174414219
703-01,13/12/1997,FLOOD,Capital Federal,2,,,Suspensión espectáculos al aire libre (futbol  carreras). 23 semáforos descompuestos. Vías aneg. Soc.: Defensa Civil y Policía. El Niño. Lluvia el 12/12: 86 mm (DI6Author : A.C. DI6Date : ),RAIN,90 mm,Cl - LN,1,1,,,nombre random,100000000.0,,
700-01,12/12/1997,FLOOD,Cordoba,14,Capital,14014,Desborde Río Suquía. Vías anegadas  cierran calles  corte ruta 9  36  5 y Autopista. Inicio: 11-11-97. El Niño. (DI6Author : A.C. DI6Date : Desborde R),RAIN,Lluvias: 249 mm/ 3 días,Cl,1,1,-31.47878838,-64.14509583,Segundo - Despeñaderos RN Nº 3,24.04002557602783,Guanasacate - Jesús Maria,25.4017512571991
711-02,12/11/1997,FLOOD,Corrientes,18,Santo Tome,18168,Barrio cercano a arroyo Las Garzas anegado.  El Niño. (DI6Author : A.C. DI6Date : ),RAIN,Lluvias: 70 mm.,Cl,1,1,-28.51878167,-56.05544289,Santo Tomé,3.131044339241239,Garruchos,49.70768894471692
853-13,10/11/1997,FLOOD,Corrientes,18,Capital,18021,Vías anegadas. El Niño. (DI6Author : A.C. DI6Date : ),RAIN,,Cl,1,1,-27.4064,-58.78276,Paraná - Corrientes,6.407280926805932,Corrientes,7.056348757607762
892-01,10/11/1997,FLOOD,Cordoba,14,Capital,14014,Vías anegadas. El Niño. (DI6Author : A.C. DI6Date : ),RAIN,Lluvias: 40 mm.,Cl,1,1,-31.47878838,-64.14509583,Segundo - Despeñaderos RN Nº 3,24.04002557602783,Guanasacate - Jesús Maria,25.4017512571991
851-04,31/10/1997,FLOOD,Misiones,54,Capital,54028,Vias anegadas  corte ruta 12. Se reabre el 1-11-97. El Niño. (DI6Author : A.C. DI6Date : ),Llu y desb,Crecida Rio Paraná,Cl,1,1,-27.47659493,-55.92169961,Posadas,8.071972190649717,Santa Ana,38.102938316511526
855-06,31/10/1997,FLOOD,Entre Rios,30,Federacion,30028,Vías anegadas. El Niño. (DI6Author : A.C. DI6Date : ),Llu y desb,Crecida río Uruguay,Cl,1,1,-30.70681007,-57.88784914,Mocoretá,7.811214255254326,Monte Caseros,39.181279829816404
855-05,31/10/1997,FLOOD,Entre Rios,30,Federacion,30028,Vías anegadas. El Niño. (DI6Author : A.C. DI6Date : ),Llu y desb,Crecida Río Uruguay,Cl,1,1,-30.70681007,-57.88784914,Mocoretá,7.811214255254326,Monte Caseros,39.181279829816404
853-02,31/10/1997,FLOOD,Corrientes,18,Paso de los Libres,18119,Vías anegadas. Soc: d.Civil  Prefectura. Algunos ev. se re-evacúan. El Niño. (DI6Author : A.C. DI6Date : ),Llu y desb,Crecida Río Uruguay,Cl,1,1,-29.87793885,-57.53288465,Miriñay - Paso Ledesma,15.917836422390208,Bompland,22.24097528486633
853-04,29/10/1997,FLOOD,Corrientes,18,Goya,18070,Soc: desagote con bombas  defensas costeras  mantenimiento desagues. El Niño. (DI6Author : A.C. DI6Date : ),Llu y vie,100 mm. en 24 hs.  vientos,Cl,1,1,-29.1751244,-58.88982054,Aº Batel - Paso Cerrito,14.000267264942622,Bella Vista,42.093005625454715
683-01,28/10/1997,FLOOD,Corrientes,18,General Alvear,18056,Caída 6 Km. de líneas alta tensión. El Niño. (DI6Author : A.C. DI6Date : ),Llu y vie,Vientos 120 Km/h  granizo (250 g.)  170 mm lluvias.,Cl,1,1,-29.10620117,-56.5596695,Alvear,1.140384801386928,Santo Tomé,67.84518293238585
853-01,24/10/1997,FLOOD,Corrientes,18,Santo Tome,18168,Vías anegadas  Corte rutas 14 y 94. Roturas ruta 14. Pérdidas ganado  40% cítricos  50% siembra. Cierre puerto y actividades portuarias. El Niño. (DI6Author : A.C. DI6Date : ),Llu y desb,Crecida Río Uruguay,Cl,1,1,-28.51878167,-56.05544289,Santo Tomé,3.131044339241239,Garruchos,49.70768894471692
866-02,23/10/1997,FLOOD,Formosa,34,Pilcomayo,34049,Vías anegadas. Refuerzo defensas ciudad. El Niño. (DI6Author : A.C. DI6Date : ),RAIN,Lluvias,Cl,1,1,-25.11711311,-58.18847657,Aº Pilagá - RN Nº11,50.93778461244981,Puerto Pilcomayo,61.66288632112511
866-01,23/10/1997,FLOOD,Formosa,34,Formosa,34014,Vías anegadas. El Niño. (DI6Author : A.C. DI6Date : ),RAIN,Lluvias,Cl - LN,1,1,-25.73826408,-57.92005921,Aº Pilagá - RN Nº11,30.605231637078525,Paraguay - Pto. Pilcomayo,37.03256570639641
855-03,23/10/1997,FLOOD,Entre Rios,30,Colon,30008,El Niño. (DI6Author : A.C. DI6Date : ),Llu y desb,Crecida Río Uruguay,Cl,1,1,-31.70735861,-58.28660961,Concordia,35.0171592213429,Salto Grande Arriba,46.425271309854324
853-12,23/10/1997,FLOOD,Corrientes,18,Esquina,18049,Vías anegadas. El Niño. (DI6Author : A.C. DI6Date : ),Llu y desb,Crecida Río Paraná,Cl,1,1,-30.0784368,-59.4055912,Aº Barrancas - Paso La Llana,11.968917907847858,Esquina,14.950085894162754
853-11,23/10/1997,FLOOD,Corrientes,18,Bella Vista,18007,Vías anegadas  ev. El Niño. (DI6Author : A.C. DI6Date : ),Llu y desb,Crecida río,Cl,1,1,-28.48951707,-59.03412064,Paraná - Bella Vista,1.9550729578905928,Bella Vista,3.2524629227884123
